OID_,ss,year,sample,occupied,region_x,wetland_x,data_set,site,station,latit,longit,mineable,lapr,mclelland,region_y,wetland_y,UID,BUFF_DIST,ORIG_FID,Shape_Leng,Shape_Area
9389,Y:350@24:SE,2014,2,0,west,NA,Y,0,SE,57.431395999999999,-111.472030000000004,1,1,west,west,McClelland Lake Fen - West,Y:350@24:SE-2014,250.000000000000000,11798,1570.796326789999966,196349.540849000011804
9390,Y:344@25:SW,2017,4,NA,east,NA,Y,0,SW,57.362943999999999,-111.103380000000001,1,1,east,east,McClelland Lake Fen - East,Y:344@25:SW-2017,250.000000000000000,11636,1570.796326789999966,196349.540849000011804
9391,Y:344@25:NE,2013,2,NA,east,NA,Y,0,NE,57.368035999999996,-111.093109999999996,1,1,east,east,McClelland Lake Fen - East,Y:344@25:NE-2013,250.000000000000000,11555,1570.796326789999966,196349.540849000011804
9392,Y:416@39:D,2015,1,0,unmineable,NA,Y,0,D,54.942722000000003,-111.772930000000002,0,1,NA,unmineable,NA,Y:416@39:D-2015,250.000000000000000,12999,1570.796326789999966,196349.540849000011804
9393,Y:253@7:NW,2016,3,0,east,NA,Y,0,NW,57.478037000000000,-111.208780000000004,1,1,east,east,McClelland Lake Fen - East,Y:253@7:NW-2016,250.000000000000000,4879,1570.796326789999966,196349.540849000011804
9394,AM:414:SE,2018,1,0,west,NA,AM,414,SE,57.511319999999998,-111.349900000000005,1,1,west,west,McClelland Lake Fen - West,AM:414:SE-2018,250.000000000000000,452,1570.796326789999966,196349.540849000011804
9395,AM:424:SW,2013,1,NA,unmineable,NA,AM,424,SW,55.831111999999997,-110.852189999999993,0,1,NA,unmineable,NA,AM:424:SW-2013,250.000000000000000,937,1570.796326789999966,196349.540849000011804
9396,Y:324@25:SW,2013,3,NA,east,NA,Y,0,SW,57.428035000000001,-111.193610000000007,1,1,east,east,McClelland Lake Fen - East,Y:324@25:SW-2013,250.000000000000000,10360,1570.796326789999966,196349.540849000011804
9397,Y:238@24:B,2016,3,NA,west,NA,Y,0,B,57.427700000000002,-111.463489999999993,1,1,west,west,McClelland Lake Fen - West,Y:238@24:B-2016,250.000000000000000,4208,1570.796326789999966,196349.540849000011804
9398,AM:442:NE,2014,2,NA,unmineable,NA,AM,442,NE,55.088366999999998,-111.753159999999994,0,1,NA,unmineable,NA,AM:442:NE-2014,250.000000000000000,1820,1570.796326789999966,196349.540849000011804
9399,AM:414:SE,2014,3,NA,west,NA,AM,414,SE,57.511319999999998,-111.349900000000005,1,1,west,west,McClelland Lake Fen - West,AM:414:SE-2014,250.000000000000000,451,1570.796326789999966,196349.540849000011804
9400,AM:427:CT,2017,1,NA,unmineable,NA,AM,427,CT,56.224052999999998,-110.847099999999998,0,1,NA,unmineable,NA,AM:427:CT-2017,250.000000000000000,1243,1570.796326789999966,196349.540849000011804
9401,Y:317@27:NW,2013,4,NA,unmineable,NA,Y,0,NW,56.250605999999998,-110.988489999999999,0,1,NA,unmineable,NA,Y:317@27:NW-2013,250.000000000000000,9735,1570.796326789999966,196349.540849000011804
9402,Y:242@24:A,2014,1,NA,west,NA,Y,0,A,57.441426000000000,-111.438460000000006,1,1,west,west,McClelland Lake Fen - West,Y:242@24:A-2014,250.000000000000000,4451,1570.796326789999966,196349.540849000011804
9403,AM:442:SW,2013,3,NA,unmineable,NA,AM,442,SW,55.082836000000000,-111.762550000000005,0,1,NA,unmineable,NA,AM:442:SW-2013,250.000000000000000,1915,1570.796326789999966,196349.540849000011804
9404,Y:253@7:SE,2016,4,0,east,NA,Y,0,SE,57.473390999999999,-111.204200000000000,1,1,east,east,McClelland Lake Fen - East,Y:253@7:SE-2016,250.000000000000000,4912,1570.796326789999966,196349.540849000011804
9405,Y:288@23:SE,2014,4,0,east,NA,Y,0,SE,57.312151999999998,-111.352400000000003,1,1,east,east,McClelland Lake Fen - East,Y:288@23:SE-2014,250.000000000000000,7230,1570.796326789999966,196349.540849000011804
9406,Y:353@24:J,2014,1,NA,west,NA,Y,0,J,57.499955999999997,-111.359849999999994,1,1,west,west,McClelland Lake Fen - West,Y:353@24:J-2014,250.000000000000000,12032,1570.796326789999966,196349.540849000011804
9407,Y:333@31:SE,2018,3,NA,unmineable,NA,Y,0,SE,55.898135000000003,-110.557140000000004,0,1,NA,unmineable,NA,Y:333@31:SE-2018,250.000000000000000,11036,1570.796326789999966,196349.540849000011804
9408,Y:237@10:SE,2017,3,NA,mineable,NA,Y,0,SE,57.650115000000000,-111.221230000000006,1,1,NA,mineable,NA,Y:237@10:SE-2017,250.000000000000000,4120,1570.796326789999966,196349.540849000011804
9409,Y:412@39:D,2016,2,0,unmineable,NA,Y,0,D,54.967514999999999,-111.841499999999996,0,1,NA,unmineable,NA,Y:412@39:D-2016,250.000000000000000,12809,1570.796326789999966,196349.540849000011804
9410,AM:427:CT,2019,2,NA,unmineable,NA,AM,427,CT,56.224052999999998,-110.847099999999998,0,1,NA,unmineable,NA,AM:427:CT-2019,250.000000000000000,1240,1570.796326789999966,196349.540849000011804
9411,Y:296@24:CT,2015,4,0,west,NA,Y,0,CT,57.438344000000001,-111.451380000000000,1,1,west,west,McClelland Lake Fen - West,Y:296@24:CT-2015,250.000000000000000,7997,1570.796326789999966,196349.540849000011804
9412,Y:290@23:NW,2016,3,NA,east,NA,Y,0,NW,57.344150999999997,-111.345399999999998,1,1,east,east,McClelland Lake Fen - East,Y:290@23:NW-2016,250.000000000000000,7337,1570.796326789999966,196349.540849000011804
9413,Y:333@31:SW,2018,3,NA,unmineable,NA,Y,0,SW,55.898169000000003,-110.566730000000007,0,1,NA,unmineable,NA,Y:333@31:SW-2018,250.000000000000000,11065,1570.796326789999966,196349.540849000011804
9414,Y:412@39:B,2013,1,NA,unmineable,NA,Y,0,B,54.971145999999997,-111.851500000000001,0,1,NA,unmineable,NA,Y:412@39:B-2013,250.000000000000000,12751,1570.796326789999966,196349.540849000011804
9415,AM:401:NW,2013,3,NA,unmineable,NA,AM,401,NW,54.662224000000002,-110.712900000000005,0,1,NA,unmineable,NA,AM:401:NW-2013,250.000000000000000,71,1570.796326789999966,196349.540849000011804
9416,Y:300@25:SW,2018,1,0,east,NA,Y,0,SW,57.446375000000003,-111.206770000000006,1,1,east,east,McClelland Lake Fen - East,Y:300@25:SW-2018,250.000000000000000,8652,1570.796326789999966,196349.540849000011804
9417,Y:234@24:A,2015,2,0,west,NA,Y,0,A,57.420298000000003,-111.550569999999993,1,1,west,west,McClelland Lake Fen - West,Y:234@24:A-2015,250.000000000000000,3743,1570.796326789999966,196349.540849000011804
9418,Y:330@31:NE,2019,3,NA,unmineable,NA,Y,0,NE,55.917183000000001,-110.621700000000004,0,1,NA,unmineable,NA,Y:330@31:NE-2019,250.000000000000000,10718,1570.796326789999966,196349.540849000011804
9419,Y:381@19:SE,2015,2,1,unmineable,Northwest of Janvier,Y,0,SE,56.009335000000000,-110.827219999999997,0,1,NA,unmineable,Northwest of Janvier,Y:381@19:SE-2015,250.000000000000000,12282,1570.796326789999966,196349.540849000011804
9420,Y:293@23:NE,2015,4,NA,east,NA,Y,0,NE,57.333342000000002,-111.339479999999995,1,1,east,east,McClelland Lake Fen - East,Y:293@23:NE-2015,250.000000000000000,7592,1570.796326789999966,196349.540849000011804
9421,Y:281@21:CT,2013,2,1,unmineable,Northwest of Janvier,Y,0,CT,56.008521999999999,-110.817800000000005,0,1,NA,unmineable,Northwest of Janvier,Y:281@21:CT-2013,250.000000000000000,6781,1570.796326789999966,196349.540849000011804
9422,Y:299@24:NE,2014,4,0,west,NA,Y,0,NE,57.479712999999997,-111.397109999999998,1,1,west,west,McClelland Lake Fen - West,Y:299@24:NE-2014,250.000000000000000,8446,1570.796326789999966,196349.540849000011804
9423,Y:223@6:CT,2019,4,NA,unmineable,NA,Y,0,CT,54.531148999999999,-111.232429999999994,0,1,NA,unmineable,NA,Y:223@6:CT-2019,250.000000000000000,3307,1570.796326789999966,196349.540849000011804
9424,Y:261@7:NE,2019,2,NA,east,NA,Y,0,NE,57.467357999999997,-111.184449999999998,1,1,east,east,McClelland Lake Fen - East,Y:261@7:NE-2019,250.000000000000000,5373,1570.796326789999966,196349.540849000011804
9425,Y:236@10:CT,2013,1,0,mineable,NA,Y,0,CT,57.644641000000000,-111.207639999999998,1,1,NA,mineable,NA,Y:236@10:CT-2013,250.000000000000000,3900,1570.796326789999966,196349.540849000011804
9426,Y:274@19:SW,2018,4,NA,unmineable,NA,Y,0,SW,55.734636000000002,-111.116240000000005,0,1,NA,unmineable,NA,Y:274@19:SW-2018,250.000000000000000,6354,1570.796326789999966,196349.540849000011804
9427,Y:391@14:SE,2014,3,0,unmineable,NA,Y,0,SE,55.116002000000002,-111.750100000000003,0,1,NA,unmineable,NA,Y:391@14:SE-2014,250.000000000000000,12425,1570.796326789999966,196349.540849000011804
9428,Y:280@21:CT,2013,2,0,unmineable,Northwest of Janvier,Y,0,CT,56.010440000000003,-110.797899999999998,0,1,NA,unmineable,Northwest of Janvier,Y:280@21:CT-2013,250.000000000000000,6645,1570.796326789999966,196349.540849000011804
9429,AM:414:NE,2018,3,0,west,NA,AM,414,NE,57.515909999999998,-111.340069999999997,1,1,west,west,McClelland Lake Fen - West,AM:414:NE-2018,250.000000000000000,415,1570.796326789999966,196349.540849000011804
9430,Y:304@25:SW,2015,3,0,east,NA,Y,0,SW,57.418601000000002,-111.207350000000005,1,1,east,east,McClelland Lake Fen - East,Y:304@25:SW-2015,250.000000000000000,9288,1570.796326789999966,196349.540849000011804
9431,Y:293@23:NE,2019,4,0,east,NA,Y,0,NE,57.333342000000002,-111.339479999999995,1,1,east,east,McClelland Lake Fen - East,Y:293@23:NE-2019,250.000000000000000,7611,1570.796326789999966,196349.540849000011804
9432,Y:302@25:CT,2014,1,NA,east,NA,Y,0,CT,57.410525000000000,-111.191760000000002,1,1,east,east,McClelland Lake Fen - East,Y:302@25:CT-2014,250.000000000000000,8833,1570.796326789999966,196349.540849000011804
9433,Y:258@15:NE,2016,4,1,unmineable,Grazing Lease 820577,Y,0,NE,55.145363000000003,-111.679109999999994,0,1,NA,unmineable,Grazing Lease 820577,Y:258@15:NE-2016,250.000000000000000,5132,1570.796326789999966,196349.540849000011804
9434,RS:26:N,2013,2,NA,east,NA,RS,26,N,57.454565000000002,-111.166250000000005,1,1,east,east,McClelland Lake Fen - East,RS:26:N-2013,250.000000000000000,1953,1570.796326789999966,196349.540849000011804
9435,Y:464@21:C,2018,1,NA,unmineable,Northwest of Janvier,Y,0,C,56.022236999999997,-110.862780000000001,0,1,NA,unmineable,Northwest of Janvier,Y:464@21:C-2018,250.000000000000000,13528,1570.796326789999966,196349.540849000011804
9436,Y:342@25:SE,2015,3,0,east,NA,Y,0,SE,57.402151000000003,-111.199669999999998,1,1,east,east,McClelland Lake Fen - East,Y:342@25:SE-2015,250.000000000000000,11364,1570.796326789999966,196349.540849000011804
9437,Y:214@4:SE,2015,3,NA,unmineable,NA,Y,0,SE,54.553606000000002,-110.252350000000007,0,1,NA,unmineable,NA,Y:214@4:SE-2015,250.000000000000000,2842,1570.796326789999966,196349.540849000011804
9438,Y:223@6:NE,2019,3,NA,unmineable,NA,Y,0,NE,54.532905999999997,-111.230170000000001,0,1,NA,unmineable,NA,Y:223@6:NE-2019,250.000000000000000,3354,1570.796326789999966,196349.540849000011804
9439,Y:319@27:CT,2014,3,NA,unmineable,NA,Y,0,CT,56.330162000000001,-110.945819999999998,0,1,NA,unmineable,NA,Y:319@27:CT-2014,250.000000000000000,9967,1570.796326789999966,196349.540849000011804
9440,Y:214@4:NE,2013,4,0,unmineable,NA,Y,0,NE,54.558574999999998,-110.252229999999997,0,1,NA,unmineable,NA,Y:214@4:NE-2013,250.000000000000000,2795,1570.796326789999966,196349.540849000011804
9441,Y:229@8:NE,2019,2,NA,mineable,NA,Y,0,NE,57.590252000000000,-111.441670000000002,1,1,NA,mineable,NA,Y:229@8:NE-2019,250.000000000000000,3614,1570.796326789999966,196349.540849000011804
9442,Y:245@24:H,2015,2,0,west,NA,Y,0,H,57.453673000000002,-111.388090000000005,1,1,west,west,McClelland Lake Fen - West,Y:245@24:H-2015,250.000000000000000,4673,1570.796326789999966,196349.540849000011804
9443,Y:296@24:NW,2017,1,0,west,NA,Y,0,NW,57.441296000000001,-111.456410000000005,1,1,west,west,McClelland Lake Fen - West,Y:296@24:NW-2017,250.000000000000000,8042,1570.796326789999966,196349.540849000011804
9444,Y:341@25:NE,2017,3,NA,east,NA,Y,0,NE,57.426234000000001,-111.220029999999994,1,1,east,east,McClelland Lake Fen - East,Y:341@25:NE-2017,250.000000000000000,11131,1570.796326789999966,196349.540849000011804
9445,Y:412@39:C,2016,1,0,unmineable,NA,Y,0,C,54.976455000000001,-111.853350000000006,0,1,NA,unmineable,NA,Y:412@39:C-2016,250.000000000000000,12773,1570.796326789999966,196349.540849000011804
9446,Y:267@23:D,2013,1,NA,east,NA,Y,0,D,57.359788000000002,-111.326030000000003,1,1,east,east,McClelland Lake Fen - East,Y:267@23:D-2013,250.000000000000000,5946,1570.796326789999966,196349.540849000011804
9447,Y:223@6:NW,2017,2,0,unmineable,NA,Y,0,NW,54.532921999999999,-111.240350000000007,0,1,NA,unmineable,NA,Y:223@6:NW-2017,250.000000000000000,3369,1570.796326789999966,196349.540849000011804
9448,Y:414@39:B,2014,3,NA,unmineable,NA,Y,0,B,54.983944999999999,-111.830140000000000,0,1,NA,unmineable,NA,Y:414@39:B-2014,250.000000000000000,12903,1570.796326789999966,196349.540849000011804
