"WTStation","Station","VegDate","Plot","Distance","Depth","year","SDD"
"AM:401:SE","AM-401-SE",2017-06-23,"W",30,22,2017,"AM-401-SE-W-30"
"AM:401:SE","AM-401-SE",2017-06-23,"W",40,19,2017,"AM-401-SE-W-40"
"AM:401:SE","AM-401-SE",2017-06-23,"W",50,17,2017,"AM-401-SE-W-50"
"AM:401:SW","AM-401-SW",2014-05-28,"C",0,0,2014,"AM-401-SW-C-0"
"AM:401:SW","AM-401-SW",2014-05-28,"N",10,0,2014,"AM-401-SW-N-10"
"AM:401:SW","AM-401-SW",2014-05-28,"N",20,9,2014,"AM-401-SW-N-20"
"AM:401:SW","AM-401-SW",2014-05-28,"N",30,6,2014,"AM-401-SW-N-30"
"AM:401:SW","AM-401-SW",2014-05-28,"N",40,0,2014,"AM-401-SW-N-40"
"AM:401:SW","AM-401-SW",2014-05-28,"N",50,14,2014,"AM-401-SW-N-50"
"AM:401:SW","AM-401-SW",2014-05-28,"E",10,0,2014,"AM-401-SW-E-10"
"AM:401:SW","AM-401-SW",2014-05-28,"E",20,14,2014,"AM-401-SW-E-20"
"AM:401:SW","AM-401-SW",2014-05-28,"E",30,5,2014,"AM-401-SW-E-30"
"AM:401:SW","AM-401-SW",2014-05-28,"E",40,10,2014,"AM-401-SW-E-40"
"AM:401:SW","AM-401-SW",2014-05-28,"E",50,8,2014,"AM-401-SW-E-50"
"AM:401:SW","AM-401-SW",2014-05-28,"S",10,0,2014,"AM-401-SW-S-10"
"AM:401:SW","AM-401-SW",2014-05-28,"S",20,0,2014,"AM-401-SW-S-20"
"AM:401:SW","AM-401-SW",2014-05-28,"S",30,6,2014,"AM-401-SW-S-30"
"AM:401:SW","AM-401-SW",2014-05-28,"S",40,0,2014,"AM-401-SW-S-40"
"AM:401:SW","AM-401-SW",2014-05-28,"S",50,0,2014,"AM-401-SW-S-50"
"AM:401:SW","AM-401-SW",2014-05-28,"W",10,5,2014,"AM-401-SW-W-10"
"AM:401:SW","AM-401-SW",2014-05-28,"W",20,12,2014,"AM-401-SW-W-20"
"AM:401:SW","AM-401-SW",2014-05-28,"W",30,8,2014,"AM-401-SW-W-30"
"AM:401:SW","AM-401-SW",2014-05-28,"W",40,11,2014,"AM-401-SW-W-40"
"AM:401:SW","AM-401-SW",2014-05-28,"W",50,13,2014,"AM-401-SW-W-50"
"AM:401:SW","AM-401-SW",2017-06-23,"C",0,20,2017,"AM-401-SW-C-0"
"AM:401:SW","AM-401-SW",2017-06-23,"N",10,7,2017,"AM-401-SW-N-10"
"AM:401:SW","AM-401-SW",2017-06-23,"N",20,10,2017,"AM-401-SW-N-20"
"AM:401:SW","AM-401-SW",2017-06-23,"N",30,12,2017,"AM-401-SW-N-30"
