richardSS(mess),embSS,year,sample,occupied,region,wetland
Y:234:24:C,Y-234-24-C,2015,1,0,west,NA
Y:234:24:C,Y-234-24-C,2016,1,0,west,NA
Y:234:24:C,Y-234-24-C,2017,1,0,west,NA
Y:234:24:C,Y-234-24-C,2018,1,0,west,NA
Y:234:24:D,Y-234-24-D,2015,1,0,west,NA
Y:234:24:D,Y-234-24-D,2016,1,0,west,NA
Y:234:24:D,Y-234-24-D,2017,1,0,west,NA
Y:234:24:E,Y-234-24-E,2015,1,0,west,NA
Y:234:24:E,Y-234-24-E,2016,1,0,west,NA
Y:234:24:E,Y-234-24-E,2017,1,0,west,NA
Y:235:24:A,Y-235-24-A,2015,1,1,west,NA
Y:235:24:A,Y-235-24-A,2017,1,0,west,NA
Y:235:24:A,Y-235-24-A,2018,1,0,west,NA
Y:235:24:A,Y-235-24-A,2019,1,0,west,NA
Y:24:235:A,Y-235-24-A,2021,1,0,west,
Y:236:10:CT,Y-236-10-CT,2013,1,0,mineable,NA
Y:236:10:CT,Y-236-10-CT,2015,1,0,mineable,NA
Y:236:10:NE,Y-236-10-NE,2013,1,0,mineable,NA
Y:236:10:NE,Y-236-10-NE,2015,1,0,mineable,NA
Y:236:10:NW,Y-236-10-NW,2013,1,0,mineable,NA
Y:236:10:NW,Y-236-10-NW,2015,1,0,mineable,NA
Y:236:10:SE,Y-236-10-SE,2013,1,0,mineable,NA
Y:236:10:SE,Y-236-10-SE,2015,1,0,mineable,NA
Y:236:10:SW,Y-236-10-SW,2013,1,0,mineable,NA
Y:236:10:SW,Y-236-10-SW,2015,1,0,mineable,NA
Y:237:10:CT,Y-237-10-CT,2013,1,0,mineable,NA
Y:237:10:CT,Y-237-10-CT,2015,1,0,mineable,NA
Y:237:10:NE,Y-237-10-NE,2013,1,0,mineable,NA
Y:237:10:NW,Y-237-10-NW,2013,1,0,mineable,NA
Y:237:10:NW,Y-237-10-NW,2015,1,0,mineable,NA
Y:237:10:SE,Y-237-10-SE,2013,1,0,mineable,NA
Y:237:10:SE,Y-237-10-SE,2015,1,0,mineable,NA
Y:237:10:SW,Y-237-10-SW,2013,1,0,mineable,NA
Y:237:10:SW,Y-237-10-SW,2015,1,0,mineable,NA
Y:238:24:A,Y-238-24-A,2015,1,0,west,NA
Y:238:24:A,Y-238-24-A,2016,1,0,west,NA
Y:238:24:A,Y-238-24-A,2017,1,0,west,NA
Y:238:24:A,Y-238-24-A,2018,1,0,west,NA
Y:238:24:A,Y-238-24-A,2019,1,0,west,NA
Y:238:24:B,Y-238-24-B,2015,1,0,west,NA
Y:238:24:B,Y-238-24-B,2017,1,0,west,NA
Y:238:24:B,Y-238-24-B,2018,1,0,west,NA
Y:238:24:B,Y-238-24-B,2019,1,0,west,NA
Y:239:24:A,Y-239-24-A,2015,1,0,west,NA
Y:239:24:A,Y-239-24-A,2017,1,0,west,NA
Y:239:24:A,Y-239-24-A,2018,1,0,west,NA
Y:239:24:B,Y-239-24-B,2015,1,0,west,NA
Y:239:24:B,Y-239-24-B,2017,1,0,west,NA
Y:239:24:B,Y-239-24-B,2018,1,0,west,NA
Y:240:11:NE,Y-240-11-NE,2013,1,0,unmineable,NA
