ss,year,stdsdoy
Y:216@5:SW,2013,-0.46943580000000001
Y:217@5:CT,2013,1.4080010000000001
Y:217@5:NE,2013,1.4080010000000001
Y:217@5:NW,2013,1.4080010000000001
Y:217@5:SE,2013,1.206847
Y:217@5:SW,2013,1.4080010000000001
Y:218@5:CT,2013,0.46928249999999999
Y:218@5:NE,2013,0.46928249999999999
Y:218@5:NW,2013,0.46928249999999999
Y:218@5:SE,2013,0.80453909999999995
Y:218@5:SW,2013,0.46928249999999999
Y:223@6:CT,2013,-0.40238449999999998
Y:223@6:NE,2013,-0.40238449999999998
Y:223@6:NW,2013,-0.40238449999999998
Y:223@6:SE,2013,NA
Y:223@6:SW,2013,-0.40238449999999998
Y:224@7:CT,2013,-0.53648709999999999
Y:224@7:NE,2013,-0.46943580000000001
Y:224@7:NW,2013,-0.53648709999999999
Y:224@7:SE,2013,NA
Y:224@7:SW,2013,-0.53648709999999999
Y:229@8:CT,2013,1.6091549999999999
Y:229@8:NE,2013,1.6091549999999999
Y:229@8:NW,2013,0.73748780000000003
Y:229@8:SE,2013,1.273898
Y:229@8:SW,2013,1.273898
Y:234@24:A,2013,NA
Y:234@24:B,2013,NA
Y:234@24:C,2013,NA
Y:234@24:D,2013,NA
Y:234@24:E,2013,NA
Y:235@24:A,2013,NA
Y:236@10:CT,2013,-0.20123050000000001
Y:236@10:NE,2013,-0.40238449999999998
Y:236@10:NW,2013,0.26812859999999999
Y:236@10:SE,2013,-0.20123050000000001
Y:236@10:SW,2013,-0.20123050000000001
Y:237@10:CT,2013,0.87159039999999999
Y:237@10:NE,2013,0.53633390000000003
Y:237@10:NW,2013,0.87159039999999999
Y:237@10:SE,2013,0.87159039999999999
Y:237@10:SW,2013,0.93864170000000002
Y:238@24:A,2013,NA
Y:238@24:B,2013,NA
Y:239@24:A,2013,NA
Y:239@24:B,2013,NA
Y:240@11:NE,2013,0.13402600000000001
Y:240@11:NW,2013,0.13402600000000001
Y:240@11:SE,2013,0.13402600000000001
Y:240@11:SW,2013,0.13402600000000001
Y:241@24:A,2013,NA
Y:242@24:A,2013,NA
Y:242@24:B,2013,NA
