"UID","ss","year","sample","occupied","region_x","wetland_x","data_set","site","station","latit","longit","mineable","lapr","mclelland","B2","B3","B4","B5","B6","B7","NBR","NDVI","NDWI","TCB","TCwet","presence"
"AM:403:CT-2019","AM:403:CT",2019,4,NA,"unmineable",NA,"AM",403,"CT",54.610992,-110.68858,0,1,NA,265.467299578059,449.901898734177,342.319092827004,1983.41877637131,1419.36128691983,714.594936708861,0.507991119763393,0.719934195468697,0.211553811248911,2450.84000015823,-574.697690559072,NA
"AM:403:NW-2013","AM:403:NW",2013,1,NA,"unmineable",NA,"AM",403,"NW",54.614084,-110.68495,0,1,NA,233.547850562948,455.334442169908,359.782497441146,2341.79247697032,1418.06345957011,721.873080859775,0.512502093657378,0.708995108503158,0.228308762092917,2534.37018971341,-534.637792093142,NA
"AM:403:NW-2014","AM:403:NW",2014,3,1,"unmineable",NA,"AM",403,"NW",54.614084,-110.68495,0,1,NA,269.258444216991,484.789150460594,423.066530194473,2120.79170931423,1553.27379733879,830.757932446264,0.420660018798883,0.654096933018832,0.158777978816503,2594.03198055271,-688.401433776868,"present"
"AM:403:NW-2015","AM:403:NW",2015,3,1,"unmineable",NA,"AM",403,"NW",54.614084,-110.68495,0,1,NA,465.622313203685,746.14022517912,912.913510747185,2263.97389969294,2256.76407369498,1379.61566018424,0.242250451030726,0.424759048705457,0.0021305858424961,3453.29281750256,-1185.84325214944,"present"
"AM:403:NW-2016","AM:403:NW",2016,1,NA,"unmineable",NA,"AM",403,"NW",54.614084,-110.68495,0,1,NA,474.314483111566,674.660696008188,685.702917093142,2129.6082395087,1862.92886386899,1113.42758444217,0.312409500580971,0.517032412768265,0.0649481562629701,3003.3426774565,-902.836246519959,NA
"AM:403:NW-2017","AM:403:NW",2017,3,0,"unmineable",NA,"AM",403,"NW",54.614084,-110.68495,0,1,NA,181.14790174002,333.854657113613,240.241044012283,1469.97850562948,719.271494370522,367.598771750256,0.602776267587712,0.710242899803935,0.35202911785187,1518.83306755374,-159.484337973388,"absent"
"AM:403:NW-2018","AM:403:NW",2018,3,NA,"unmineable",NA,"AM",403,"NW",54.614084,-110.68495,0,1,NA,235.922466734903,403.343142272262,304.620777891505,1661.12717502559,920.338024564995,503.095445240532,0.501648574800611,0.680737775387271,0.259214558378277,1819.78561791198,-276.477922057318,NA
"AM:403:NW-2019","AM:403:NW",2019,2,NA,"unmineable",NA,"AM",403,"NW",54.614084,-110.68495,0,1,NA,219.605680655067,382.49769703173,297.002814738997,1260.25051177073,779.679375639713,446.954452405322,0.474598505784936,0.647464690259072,0.219472763224857,1462.52204424258,-258.306363766633,NA
"AM:403:SE-2013","AM:403:SE",2013,2,NA,"unmineable",NA,"AM",403,"SE",54.608119,-110.6804,0,1,NA,281.791495901639,536.081454918033,359.273053278689,3428.24129098361,1817.20440573771,822.169057377049,0.605482146907293,0.803535020070486,0.302871921679891,3388.99721367828,-584.923539293033,NA
"AM:403:SE-2014","AM:403:SE",2014,1,1,"unmineable",NA,"AM",403,"SE",54.608119,-110.6804,0,1,NA,293.780225409836,540.508709016393,370.957991803279,3290.82325819672,1811.80942622951,814.548668032787,0.595168107204506,0.790559064108329,0.292186389097058,3372.51652105533,-583.741429815574,"present"
"AM:403:SE-2015","AM:403:SE",2015,1,1,"unmineable",NA,"AM",403,"SE",54.608119,-110.6804,0,1,NA,565.835040983607,882.835040983607,1063.25717213115,2850.52459016394,2882.76024590164,1690.92008196721,0.262492372807054,0.463043317504105,0.00174891838200817,4297.58005819672,-1543.02616034836,"present"
"AM:403:SE-2016","AM:403:SE",2016,4,NA,"unmineable",NA,"AM",403,"SE",54.608119,-110.6804,0,1,NA,383.813524590164,678.462602459016,593.276639344263,3034.59426229508,2252.80481557377,1202.27151639344,0.460294054332571,0.691103118181717,0.171364373321355,3695.83229626025,-1000.43325845287,NA
"AM:403:SE-2017","AM:403:SE",2017,4,0,"unmineable",NA,"AM",403,"SE",54.608119,-110.6804,0,1,NA,198.119364754098,356.537909836066,245.860655737705,1554.64344262295,782.547643442623,391.409323770492,0.593763393334678,0.717376369921888,0.325104384331918,1619.56675005123,-186.770723206967,"absent"
"AM:403:SE-2018","AM:403:SE",2018,4,NA,"unmineable",NA,"AM",403,"SE",54.608119,-110.6804,0,1,NA,109.762295081967,339.240778688525,257.069672131148,1317.54405737705,773.876024590164,425.884221311475,0.488333040634628,0.641701814516997,0.24351059366781,1459.97802038934,-265.897507684426,NA
"AM:403:SE-2019","AM:403:SE",2019,3,NA,"unmineable",NA,"AM",403,"SE",54.608119,-110.6804,0,1,NA,187.350922131148,287.471823770492,222.670081967213,711.075307377049,492.212090163934,284.439549180328,0.418195352080416,0.47831705927116,0.193045701488059,947.225761782787,-146.939180942623,NA
"AM:403:SW-2013","AM:403:SW",2013,1,NA,"unmineable",NA,"AM",403,"SW",54.608253,-110.68923,0,1,NA,284.982142857143,477.732142857143,303.410714285714,2911.89285714286,1650.55357142857,724.285714285714,0.601581228630883,0.811239989740508,0.27644116218601,2967.45786785714,-575.659333928571,NA
"AM:403:SW-2014","AM:403:SW",2014,1,0,"unmineable",NA,"AM",403,"SW",54.608253,-110.68923,0,1,NA,275.178571428571,477.035714285714,318.214285714286,2785.96428571429,1617.23214285714,722.964285714286,0.593804316861289,0.798542714544705,0.274094393210752,2860.13985,-570.913421428571,"absent"
"AM:403:SW-2015","AM:403:SW",2015,3,1,"unmineable",NA,"AM",403,"SW",54.608253,-110.68923,0,1,NA,325.142857142857,600.964285714286,553.821428571429,2547.82142857143,2012.46428571429,1046.64285714286,0.417759119399956,0.642948025039264,0.117518424854747,3172.82672142857,-957.261235714286,"present"
"AM:403:SW-2016","AM:403:SW",2016,4,NA,"unmineable",NA,"AM",403,"SW",54.608253,-110.68923,0,1,NA,287.982142857143,511.571428571429,396.767857142857,2526.5,1608.91071428571,805.625,0.517486707440444,0.729440118585314,0.222295882446425,2800.27081071429,-638.638171428572,NA
"AM:403:SW-2017","AM:403:SW",2017,2,0,"unmineable",NA,"AM",403,"SW",54.608253,-110.68923,0,1,NA,224.053571428571,464.767857142857,309.142857142857,2700.375,1422.82142857143,647.928571428571,0.610302837831633,0.792656677109855,0.305490388401917,2699.69294285714,-439.304528571429,"absent"
"AM:403:SW-2018","AM:403:SW",2018,1,NA,"unmineable",NA,"AM",403,"SW",54.608253,-110.68923,0,1,NA,467.642857142857,643.803571428572,515.678571428571,2487.57142857143,1507.58928571429,776.625,0.524919956922531,0.665870657988957,0.244781483496938,2869.11416428571,-472.637116071429,NA
"AM:403:SW-2019","AM:403:SW",2019,3,NA,"unmineable",NA,"AM",403,"SW",54.608253,-110.68923,0,1,NA,267.785714285714,443.142857142857,326.214285714286,1871.39285714286,1429.32142857143,734.035714285714,0.467903102082866,0.714784609419959,0.172468678759677,2356.45335357143,-637.359721428571,NA
"AM:414:CT-2013","AM:414:CT",2013,1,NA,"west",NA,"AM",414,"CT",57.513788,-111.34433,1,1,"west",298.430900143531,535.690554302508,368.527236689221,2325.45222472832,1318.49097806028,695.867370651357,0.56787476701507,0.712920693320999,0.312927212807514,2624.3931852505,-376.424190332172,NA
"AM:414:CT-2014","AM:414:CT",2014,2,NA,"west",NA,"AM",414,"CT",57.513788,-111.34433,1,1,"west",300.279338391087,581.045178046613,400.39436812248,2514.95735083043,1426.04852709999,700.707675483562,0.581461905911651,0.720173581227773,0.292617434903742,2754.50571306131,-424.298051513909,NA
"AM:414:CT-2015","AM:414:CT",2015,1,0,"west",NA,"AM",414,"CT",57.513788,-111.34433,1,1,"west",341.442245916205,551.372428405441,527.273528808694,2020.56185496548,1538.34621693664,873.692263003212,0.395060719528166,0.55914208566419,0.141453681949952,2582.94142846012,-683.044501349874,"absent"
"AM:414:CT-2016","AM:414:CT",2016,1,0,"west",NA,"AM",414,"CT",57.513788,-111.34433,1,1,"west",356.631911694348,603.94245096029,490.327250358827,2233.64113867815,1519.68747864124,822.979666461623,0.456795515683139,0.620101080935592,0.226131604067402,2722.79577819014,-561.94252816964,"absent"
