location,year,datetime,occupied,region,latitude,longitude
Y-13-248-NW,2018,NA,NOT SURVEYED,UNMINEABLE,54.86926,-111.6121
Y-13-248-NW,2019,NA,NOT SURVEYED,UNMINEABLE,54.86926,-111.6121
Y-13-248-NW,2020,NA,NOT SURVEYED,UNMINEABLE,54.86926,-111.6121
Y-13-248-NW,2021,NA,NOT SURVEYED,UNMINEABLE,54.86926,-111.6121
Y-13-248-NW2,2013,NA,NOT SURVEYED,UNMINEABLE,54.86903,-111.6124
Y-13-248-NW2,2014,NA,NOT SURVEYED,UNMINEABLE,54.86903,-111.6124
Y-13-248-NW2,2017,NA,NOT SURVEYED,UNMINEABLE,54.86903,-111.6124
Y-13-248-NW2,2018,NA,NOT SURVEYED,UNMINEABLE,54.86903,-111.6124
Y-13-248-NW2,2019,NA,NOT SURVEYED,UNMINEABLE,54.86903,-111.6124
Y-13-248-NW2,2020,NA,NOT SURVEYED,UNMINEABLE,54.86903,-111.6124
Y-13-248-NW2,2021,NA,NOT SURVEYED,UNMINEABLE,54.86903,-111.6124
Y-13-248-NW2,2016,NA,NOT SURVEYED,UNMINEABLE,54.86903,-111.6124
Y-13-248-SE,2014,NA,NOT SURVEYED,UNMINEABLE,54.86341,-111.6047
Y-13-248-SE,2019,NA,NOT SURVEYED,UNMINEABLE,54.86341,-111.6047
Y-13-248-SE,2020,NA,NOT SURVEYED,UNMINEABLE,54.86341,-111.6047
Y-13-248-SE,2021,NA,NOT SURVEYED,UNMINEABLE,54.86341,-111.6047
Y-13-248-SE,2016,NA,NOT SURVEYED,UNMINEABLE,54.86341,-111.6047
Y-13-248-SE,2015,NA,NOT SURVEYED,UNMINEABLE,54.86341,-111.6047
Y-13-248-SW,2014,NA,NOT SURVEYED,UNMINEABLE,54.86338,-111.614
Y-13-248-SW,2019,NA,NOT SURVEYED,UNMINEABLE,54.86338,-111.614
Y-13-248-SW,2020,NA,NOT SURVEYED,UNMINEABLE,54.86338,-111.614
Y-13-248-SW,2021,NA,NOT SURVEYED,UNMINEABLE,54.86338,-111.614
Y-13-249-CT,2014,NA,NOT SURVEYED,UNMINEABLE,54.86861,-111.7913
Y-13-249-CT,2015,NA,NOT SURVEYED,UNMINEABLE,54.86861,-111.7913
Y-13-249-CT,2016,NA,NOT SURVEYED,UNMINEABLE,54.86861,-111.7913
Y-13-249-CT,2017,NA,NOT SURVEYED,UNMINEABLE,54.86861,-111.7913
Y-13-249-CT,2018,NA,NOT SURVEYED,UNMINEABLE,54.86861,-111.7913
Y-13-249-CT,2019,NA,NOT SURVEYED,UNMINEABLE,54.86861,-111.7913
Y-13-249-CT,2020,NA,NOT SURVEYED,UNMINEABLE,54.86861,-111.7913
Y-13-249-CT,2021,NA,NOT SURVEYED,UNMINEABLE,54.86861,-111.7913
Y-13-249-NE,2014,NA,NOT SURVEYED,UNMINEABLE,54.871339999999996,-111.7867
Y-13-249-NE,2015,NA,NOT SURVEYED,UNMINEABLE,54.871339999999996,-111.7867
