"UID","ss","year","sample","occupied","region_x","wetland_x","data_set","site","station","latit","longit","mineable","lapr","mclelland","B2","B3","B4","B5","B6","B7","NBR","NDVI","NDWI","TCB","TCwet","presence","julian"
"AM:403:SW-2016","AM:403:SW",2016,4,NA,"unmineable",NA,"AM",403,"SW",54.608253,-110.68923,0,1,NA,288.295974749618,511.774551583039,397.495401663443,2525.28611570657,1610.17496382664,806.715062793591,0.516823110949774,0.728904663851537,0.221704014743538,2800.92299258356,-639.97319278831,NA,0.0278066542119262
"AM:403:SW-2017","AM:403:SW",2017,2,0,"unmineable",NA,"AM",403,"SW",54.608253,-110.68923,0,1,NA,243.802173485782,477.549845274476,354.925288949391,2623.98850637327,1502.37727258706,716.523309070508,0.568544484601636,0.758961942092251,0.268245736041574,2740.73300447575,-523.31385395713,"absent",1.74979841673505
"AM:403:SW-2018","AM:403:SW",2018,1,NA,"unmineable",NA,"AM",403,"SW",54.608253,-110.68923,0,1,NA,453.21307028967,634.464107107761,482.226546283955,2543.38504101361,1449.45991186062,726.504619805191,0.55543169313066,0.690490519332565,0.271995176568673,2839.12726496582,-411.25369989423,NA,-1.27853192425389
"AM:403:SW-2019","AM:403:SW",2019,3,NA,"unmineable",NA,"AM",403,"SW",54.608253,-110.68923,0,1,NA,289.544809808242,457.226107183442,376.657567929712,1787.22988668855,1516.97640304996,809.613694153342,0.421893567121215,0.677659604028167,0.131432359020977,2401.67147171584,-729.921561023854,NA,1.92793549561675
"AM:414:CT-2013","AM:414:CT",2013,1,NA,"west",NA,"AM",414,"CT",57.513788,-111.34433,1,1,"west",288.692264709419,529.387367769285,345.950529165351,2363.12072457281,1279.25957528671,662.041222316493,0.588467079182672,0.729536590458166,0.331293681996415,2604.15508449079,-334.996640643999,NA,-0.862878740196586
"AM:414:CT-2014","AM:414:CT",2014,2,NA,"west",NA,"AM",414,"CT",57.513788,-111.34433,1,1,"west",306.624650679515,585.152086785122,415.10446386974,2490.41403605425,1451.61016802962,722.747464954226,0.568044764226017,0.709347315371429,0.280650565065783,2767.69206450796,-451.290615502394,NA,0.562217890857033
"AM:414:CT-2015","AM:414:CT",2015,1,0,"west",NA,"AM",414,"CT",57.513788,-111.34433,1,1,"west",330.363281505214,544.201733932907,501.589587678896,2063.41467269502,1493.71539385447,835.210619851221,0.418487152850204,0.578044829717483,0.162347929391091,2559.91795668322,-635.915275521979,"absent",-0.981636792784388
"AM:414:CT-2016","AM:414:CT",2016,1,0,"west",NA,"AM",414,"CT",57.513788,-111.34433,1,1,"west",354.265085633066,602.410558093278,484.840327667558,2242.79589015483,1510.15288756497,814.758739620959,0.461800161501341,0.624139320034066,0.230595292868992,2717.87721802501,-551.874197249935,"absent",-0.209709450963677
"AM:414:CT-2017","AM:414:CT",2017,1,0,"west",NA,"AM",414,"CT",57.513788,-111.34433,1,1,"west",313.003531844631,584.914899376862,413.62529587046,2701.09607401427,1515.34202959698,753.611113986264,0.571559106563402,0.732613397024102,0.286715264689324,2865.77329247005,-481.088275713507,"absent",0.0278066542119262
"AM:414:CT-2018","AM:414:CT",2018,4,0,"west",NA,"AM",414,"CT",57.513788,-111.34433,1,1,"west",286.027373234123,542.167291261898,360.743950272471,2670.31990543305,1501.17775789528,760.238769489326,0.557100567759001,0.7588676044248,0.282590970923702,2808.46459994894,-513.393183638452,"absent",-0.0315723720819746
"AM:414:CT-2019","AM:414:CT",2019,3,0,"west",NA,"AM",414,"CT",57.513788,-111.34433,1,1,"west",302.863609315657,565.986629448619,376.271979639399,2641.15666522147,1445.38745799761,706.993173357545,0.576560782717362,0.742526470678148,0.294908372778987,2791.70134009459,-441.685585999849,"absent",-0.209709450963677
"AM:414:NE-2013","AM:414:NE",2013,1,NA,"west",NA,"AM",414,"NE",57.51591,-111.34007,1,1,"west",284.786216327311,525.246146393181,348.697773641111,2254.70444769939,1274.87059844722,635.56195333936,0.611058709291765,0.729651754381677,0.340809888400047,2583.22039118527,-309.583852953962,NA,-0.862878740196586
"AM:414:NE-2014","AM:414:NE",2014,4,NA,"west",NA,"AM",414,"NE",57.51591,-111.34007,1,1,"west",298.558601440852,605.495119411686,426.534999828181,2465.49710203582,1417.60266813577,711.552084552631,0.581992129811688,0.704218685768109,0.30136584797837,2744.967044462,-405.131515784788,NA,0.562217890857033
"AM:414:NE-2015","AM:414:NE",2015,4,0,"west",NA,"AM",414,"NE",57.51591,-111.34007,1,1,"west",316.390145285556,530.258848603852,520.137082588374,1912.32406380558,1402.99897287179,794.425620538277,0.417445250023615,0.547552710408237,0.166583385006013,2422.26500956248,-587.592942756427,"absent",-0.981636792784388
"AM:414:NE-2016","AM:414:NE",2016,1,NA,"west",NA,"AM",414,"NE",57.51591,-111.34007,1,1,"west",337.420582379597,574.476347453881,461.790348846924,2119.63216689349,1414.80103850169,728.526740581729,0.476454324915237,0.610677573760175,0.253617718805886,2583.64558025822,-463.211711129911,NA,-0.209709450963677
