project,organization,location,recording_date,recording_time,latitude,longitude,YERAobs,long4,lat4,datetime,syear,sdoy,shod,stod,long3,lat3,numyears,region
Bayne-OSM-YERA-2021,BU,Y-27-314-SW,2021-07-08,1:00:00,56.22869,-110.8379,0,-110.8379,56.2287,2021-07-08 1:00,2021,189,1,1,-110.838,56.229,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,Y-27-314-NW,2021-07-08,2:40:00,56.23411,-110.8368,0,-110.8368,56.2341,2021-07-08 2:40,2021,189,2,2.666667,-110.837,56.234,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,Y-27-314-NE,2021-07-08,0:00:00,56.2341,-110.8271,0,-110.8271,56.2341,2021-07-08 0:00,2021,189,0,0,-110.827,56.234,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,R-P5-20-36,2021-06-02,0:20:00,55.13942,-111.6897,1,-111.6897,55.1394,2021-06-02 0:20,2021,153,0,0.3333333,-111.69,55.139,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,R-P5-20-32,2021-06-01,0:40:00,55.13469,-111.6841,0,-111.6841,55.1347,2021-06-01 0:40,2021,152,0,0.6666667,-111.684,55.135,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,Y-27-315-NE,2021-07-09,1:20:00,56.24207,-110.8988,0,-110.8988,56.2421,2021-07-09 1:20,2021,190,1,1.333333,-110.899,56.242,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,P-P5-20-40,2021-06-05,2:40:00,55.13977,-111.6796,1,-111.6796,55.1398,2021-06-05 2:40,2021,156,2,2.666667,-111.68,55.14,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,W-P5-20-50,2021-06-03,0:40:00,55.14858,-111.6848,1,-111.6848,55.1486,2021-06-03 0:40,2021,154,0,0.6666667,-111.685,55.149,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,EP-26-WI3,2021-07-14,0:00:00,57.0378,-111.9208,0,-111.9208,57.0378,2021-07-14 0:00,2021,195,0,0,-111.921,57.038,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,Y-27-314-NW,2021-07-09,0:40:00,56.23411,-110.8368,0,-110.8368,56.2341,2021-07-09 0:40,2021,190,0,0.6666667,-110.837,56.234,1,UNMINEABLE
Bayne-OSM-YERA-2021,BU,Y-27-314-NW,2021-07-08,2:20:00,56.23411,-110.8368,0,-110.8368,56.2341,2021-07-08 2:20,2021,189,2,2.333333,-110.837,56.234,1,UNMINEABLE
